name,subCategory,address,postalCode,phone,hours,description
REACH-SLEC Senior Care Centre @ Senja Valley,Active Ageing Centre,"645 Senja Cl, #01-01, Singapore 670645",670645,+65 6568 1534,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.reach.org.sg/
Redhill Moral Seniors Activity Centre,Active Ageing Centre,"89 Redhill Cl, #01-448, 150089 Block 89, Singapore 150089",150089,+65 6476 5873,,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=11052224376000879977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
SASCO @ Jurong West,Active Ageing Centre,"715 Jurong West Street 71, #01-47, Singapore 640715",640715,+65 6273 5183,,Type: Services | Google Maps: https://maps.google.com/?cid=9426855910950136618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
SASCO Integrated Eldercare Centre,Active Ageing Centre,"704 W Coast Rd, Block 704 Block 704, Singapore 120704",120704,+65 6273 5183,,Type: Non-profit organization | Website: http://www.sasco.org.sg/
SASCO@HongKahNorth,Active Ageing Centre,"Blk 337 Bukit Batok Street 34, #01-06 S65033, Singapore 065033",065033,+65 6273 5183,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://sasco.org.sg/our-services/
SASCO@WestCoast,Active Ageing Centre,"Blk 704 W Coast Rd, #01-431, Singapore 120704",120704,+65 6273 5183 ext. 406,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://sasco.org.sg/
SNM Care Centre (Sree Narayana Mission),Active Ageing Centre,"394 Race Course Rd, Singapore 218649",218649,+65 6752 1785,,Type: Association / Organization | Website: https://sreenarayanamission.org/our-services/active-ageing-centres/
SPD@Canberra Senior Care Centre,Active Ageing Centre,"21 Canberra Link, #02-03, Singapore 756973",756973,+65 6889 0460,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: http://www.spd.org.sg/
SUN-DAC (Choa Chu Kang),Active Ageing Centre,"213 Choa Chu Kang Central, #01-110, Singapore 680213",680213,+65 6763 6234,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed,Type: Association / Organization | Website: http://www.sundac.org/
SUNLOVE ACTIVE AGEING CENTRE @ WOODLANDS,Active Ageing Centre,"Woodlands Ave 4, #01-275 Block 755, Singapore 730755",730755,+65 6305 4615,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://sunlove.org.sg/
Sembawang Community Club,Active Ageing Centre,"117B Canberra Cres, #01-370, Singapore 752117",752117,+65 6752 7212,Monday: 2:00 – 6:00 PM; Tuesday: 2:00 – 6:00 PM; Wednesday: 2:00 – 6:00 PM; Thursday: 2:00 – 6:00 PM; Friday: 2:00 – 6:00 PM; Saturday: 2:00 – 6:00 PM; Sunday: 2:00 – 6:00 PM,Type: Community center | Website: http://go.gov.sg/sembcentral
Sembawang Recreation Centre,Active Ageing Centre,"301 Canberra Rd, Singapore 759774",759774,,Monday: 8:00 AM – 11:30 PM; Tuesday: 8:00 AM – 11:30 PM; Wednesday: 8:00 AM – 11:30 PM; Thursday: 8:00 AM – 11:30 PM; Friday: 8:00 AM – 11:30 PM; Saturday: 8:00 AM – 11:30 PM; Sunday: 8:00 AM – 11:30 PM,Type: Sports activity location | Website: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/recreation-well-being-and-other-resources-for-migrant-workers/recreation-centres
Sengkang Community Club,Active Ageing Centre,"2 Sengkang Square, #01-01, Singapore 545025",545025,+65 6312 5400,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Google Maps: https://maps.google.com/?cid=3171819459097113920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Sengkang Sport Centre,Active Ageing Centre,"57 Anchorvale Rd, Singapore 544964",544964,+65 6315 3574,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 7:00 AM – 10:00 PM,"Sports center offering indoor & outdoor pools with water slides, a gym & a hockey pitch. | Type: Sports complex | Website: https://www.activesgcircle.gov.sg/facilities/sengkang-sport-centre"
Senior Care Centre,Active Ageing Centre,"310 Canberra Rd, Block 310, Singapore 750310",750310,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Services | Google Maps: https://maps.google.com/?cid=17404965846542358787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Senior Gym | Fitness Classes @ NTUC Health Active Ageing Centre (Care) (Bukit Batok West),Active Ageing Centre,"439 Bukit Batok West Ave. 8, #02-01, Singapore 650439",650439,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Gym | Website: https://ntuchealth.sg/active-ageing/services/senior-gym/?utm_campaign=gmbwebsite&utm_source=gmb&utm_medium=organic&utm_content=circuittrainingbbw
Senior Gym | Fitness Classes @ NTUC Health Active Ageing Centre (Care) (Kampung Admiralty),Active Ageing Centre,"676 Woodlands Drive 71, #06-01, Singapore 730676",730676,,Monday: Closed; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Gym | Website: https://ntuchealth.sg/active-ageing/services/senior-gym/?utm_campaign=gmbwebsite&utm_source=gmb&utm_medium=organic&utm_content=circuittrainingka
Senior Gym | Fitness Classes @ NTUC Health Day Centre for Seniors - Ci Yuan,Active Ageing Centre,"51 Hougang Ave 9, #03-01, Ci Yuan Community Club, Singapore 538776",538776,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: Closed; Thursday: 9:00 AM – 6:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,Type: Gym | Website: https://ntuchealth.sg/active-ageing/services/senior-gym?utm_campaign=gmbwebsite&utm_source=gmb&utm_medium=organic&utm_content=ciyuan
Senior Gym | Fitness Classes @ NTUC Health Day Centre for Seniors - Heartbeat@Bedok,Active Ageing Centre,"11 Bedok North Street 1, #02-02, Singapore 469662",469662,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Gym | Website: https://ntuchealth.sg/active-ageing/services/senior-gym/?utm_campaign=gmbwebsite&utm_source=gmb&utm_medium=organic&utm_content=circuittrainingbdk
Senior Gym | Fitness Classes by NTUC Health @ ActiveSG Gym - Serangoon Central,Active Ageing Centre,"264 Serangoon Central, #01-207, Singapore 550264",550264,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Gym | Website: https://ntuchealth.sg/active-ageing/services/senior-gym/?utm_campaign=gmbwebsite&utm_source=gmb&utm_medium=organic&utm_content=circuittrainingsrg
Seniors' Activity Centre,Active Ageing Centre,Singapore,,,,Type: Point of interest | Google Maps: https://maps.google.com/?cid=12162104892897488557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Sheng Hong Active Ageing Centre (Care)@Sennett,Active Ageing Centre,"175 MacPherson Rd, Singapore 348537",348537,+65 6239 0933,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Association / Organization | Website: https://shenghong.org.sg/life-point/our-services/one-stop-services-%E4%B8%80%E7%AB%99%E5%BC%8F%E6%9C%8D%E5%8A%A1/
SilverACE Senior Activity Centre,Active Ageing Centre,"Lengkok Bahru, #01-491 Block 57, Singapore 151057",151057,+65 6473 3387,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=7295351528313172933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Singapore Anglican Community Services (Pasir Ris),Active Ageing Centre,"01-266 Pasir Ris Dr 1, Block 534, Singapore 510534",510534,+65 6584 4633,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Health | Google Maps: https://maps.google.com/?cid=8821181017265828474&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Social Day Centre (SDC@96),Active Ageing Centre,"#01-467, Geylang East Home For The Aged, 96 Aljunied Crescent, Singapore 380096",380096,+65 6547 1529,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: http://www.geha.org.sg/english/index_services.html#blk96
Society For The Aged Sick,Active Ageing Centre,"130 Hougang Ave 1, Singapore 538900",538900,+65 6922 6222,Monday: 8:30 AM – 6:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 6:00 PM; Saturday: 8:30 AM – 1:00 PM; Sunday: Closed,Type: Health | Website: http://www.societyagedsick.org.sg/
St Andrew's Active Ageing Centre (Yishun),Active Ageing Centre,"Blk 426A, Yishun Avenue 11, #01-74, Singapore 761426",761426,+65 6257 2588,,Type: Non-profit organization | Google Maps: https://maps.google.com/?cid=14887169548501486316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
St Luke's ElderCare Active Ageing Centre (Care) @ Anchorvale,Active Ageing Centre,"Blk 353 Anchorvale Ln, #01-01, Singapore 540353",540353,+65 6950 1900,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Ayer Rajah,Active Ageing Centre,"150A Pandan Gardens, #01-01, Singapore 609342",609342,+65 6262 1501,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Bishan,Active Ageing Centre,"Blk 152B Bishan St.11, #01-271, Singapore 572152",572152,+65 6027 5328,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Changkat,Active Ageing Centre,"Blk 350 Tampines Street 33, #01-438, Singapore 520350",520350,+65 6789 9956,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Chong Pang,Active Ageing Centre,"Blk 113 Yishun Ring Rd, #01-457, Singapore 760113",760113,+65 6481 5708,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Clementi,Active Ageing Centre,"Blk 602 Clementi West Street 1, #01-25, Singapore 120602",120602,+65 6872 2210,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Golden Years,Active Ageing Centre,"Blk 831 Hougang Central, #01-502, Singapore 530831",530831,+65 6386 2273,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Hougang,Active Ageing Centre,"Blk 126 Hougang Ave 1, #01-1506, Singapore 530126",530126,+65 6382 2366,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Nee Soon Central,Active Ageing Centre,"765 Yishun Street 72, #01-366 Block 765, Singapore 760765",760765,+65 8021 2721,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Google Maps: https://maps.google.com/?cid=5024426411213537411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
St Luke's ElderCare Active Ageing Centre (Care) @ Nee Soon Central,Active Ageing Centre,"Blk 766 Yishun Ave 3, #01-295, Singapore 760766",760766,+65 6759 9053,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Nee Soon East,Active Ageing Centre,"Blk 260, Yishun Street 22 #01-87, #01-97 and, Singapore 760260",760260,+65 6481 5903,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Active Ageing Centre (Care) @ Northshore,Active Ageing Centre,"Blk 417, Northshore Drive #01-03, #02-03 and, Singapore 820417",820417,+65 6910 7697,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Day Rehabilitation Centre @ Bukit Batok Central,Active Ageing Centre,"Blk 229 Bukit Batok East Ave 3, #01-118, Singapore 650229",650229,+65 6031 0355,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ Ang Mo Kio Polyclinic,Active Ageing Centre,"21 Ang Mo Kio Central 2, #02-01, Singapore 569666",569666,+65 6258 7045,,Type: Services | Website: http://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ Hougang Meadow,Active Ageing Centre,"Blk 364 Upper Serangoon Rd, #01-02, Singapore 530364",530364,+65 6284 1281,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ One Punggol,Active Ageing Centre,"1 Punggol Dr., #04-06, Singapore 828629",828629,+65 6993 8090,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ Sumang,Active Ageing Centre,"Blk 222 Sumang Ln, #01-01, Singapore 820222",820222,+65 6244 8031,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ Tampines,Active Ageing Centre,"Blk 101 Tampines St. 11, #01-13, Singapore 521101",521101,+65 6786 7688,,Type: Services | Website: https://www.slec.org.sg/
St Luke's ElderCare Senior Care Centre @ Telok Blangah,Active Ageing Centre,"Blk 33 Telok Blangah Wy, #01-1038, Singapore 090033",090033,+65 6273 3466,,Type: Services | Website: https://www.slec.org.sg/
St Luke's Eldercare Residence @ Jelapang,Active Ageing Centre,"8 Jelapang Rd, Singapore 679440",679440,,,Type: Health | Website: https://www.slec.org.sg/
St Luke’s ElderCare Residence @ Punggol,Active Ageing Centre,"1 Sumang Walk, Singapore 829879",829879,+65 6037 0911,,Type: Health | Website: http://www.slec.org.sg/
St. Andrew's Active Ageing Centre (Bedok South),Active Ageing Centre,"152A Bedok S Rd, #02-01, Singapore 461152",461152,+65 6320 0516,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Medical clinic | Website: https://www.samh.org.sg/st-andrews-senior-care/
St. Andrew's Active Ageing Centre (Jurong West),Active Ageing Centre,"01 Jurong West Street 41, #812, 499, Singapore 640499",640499,,,Type: Services | Google Maps: https://maps.google.com/?cid=10902807567390778694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
St. Andrew's Active Ageing Centre (Tampines-Changkat),Active Ageing Centre,"117 Tampines St. 11, #01-516, Singapore 521117",521117,+65 6588 3536,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.sacs.org.sg/our-centres.html
St. Andrew's Active Ageing Centre @ Woodlands,Active Ageing Centre,"Woodlands Avenue 1 01-800, Block 572A, Singapore 731572",731572,+65 6957 1745,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Community center | Google Maps: https://maps.google.com/?cid=2578665774954192074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
St. Andrew's Senior Care (Bedok North),Active Ageing Centre,"Blk 222C Bedok N Dr, #01-66, Singapore 463222",463222,+65 6320 0536,Monday: 7:30 AM – 6:00 PM; Tuesday: 7:30 AM – 6:00 PM; Wednesday: 7:30 AM – 6:00 PM; Thursday: 7:30 AM – 6:00 PM; Friday: 7:30 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://samh.org.sg/st-andrews-senior-care/
St. Andrew's Senior Care (Bedok South),Active Ageing Centre,"Blk 152A Bedok S Rd, #02-02, Singapore 461152",461152,+65 6320 0506,Monday: 7:30 AM – 6:00 PM; Tuesday: 7:30 AM – 6:00 PM; Wednesday: 7:30 AM – 6:00 PM; Thursday: 7:30 AM – 6:00 PM; Friday: 7:30 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://samh.org.sg/st-andrews-senior-care/
St. Andrew’s Active Ageing Centre (Bedok North),Active Ageing Centre,"Blk 223 Bedok N Dr, #04-01, Singapore",,+65 6320 0517,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Non-profit organization | Website: https://www.sach.org.sg/outpatient-services/#SA-Senior-Care
St. Andrew’s Active Ageing Centre (Dover),Active Ageing Centre,"2 Dover Rd, Singapore 130002",130002,+65 9820 9109,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 12:00 PM; Sunday: Closed,Type: Non-profit organization | Website: https://www.sach.org.sg/outpatient-services/#SA-Senior-Care
St. Andrew’s Senior Care (Tampines North),Active Ageing Centre,"10 Tampines St 62, Singapore 528519",528519,+65 6329 8348,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.samh.org.sg/
Sunlove Active Ageing Centre - Chai Chee,Active Ageing Centre,"Blk 31 Chai Chee Ave, #01-150, Singapore 461031",461031,+65 6876 0153,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Non-profit organization | Website: http://www.sunlove.org.sg/
Sunlove Active Ageing Centre @ Ang Mo Kio,Active Ageing Centre,"BLK557 Ang Mo Kio Ave 10, Singapore 560557",560557,,,Type: Services | Website: https://www.sunlove.org.sg/
Sunlove Active Ageing Centre @ Jalan Rajah,Active Ageing Centre,"BLK 104 Jln Rajah, #01-59, Singapore 321104",321104,+65 6305 4612,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.sunlove.org.sg/
Sunlove Day Activity Centre @ Eunos,Active Ageing Centre,"12 Eunos Cres, Block 12, Singapore 400012",400012,+65 6741 0882,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: http://www.sunlove.org.sg/
Sunlove Marsiling Senior Activity Centre,Active Ageing Centre,"3 Marsiling Rd, Singapore 730003",730003,+65 6367 6615,,Type: Services | Website: http://www.sunlove.org.sg/
Sunlove SAC @ Depot Heights,Active Ageing Centre,"102 Depot Rd, Singapore 101102",101102,+65 6252 0018,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Google Maps: https://maps.google.com/?cid=14839775677829164578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Sunlove Senior Activity Centre - Whampoa Dew,Active Ageing Centre,"01-79 Lor Limau, Singapore 320078",320078,+65 6925 6370,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Non-profit organization | Website: https://sunlove.org.sg/
Sunshine Welfare Action Mission,Active Ageing Centre,"5 Sembawang Walk, Singapore 757717",757717,+65 6257 6117,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,Type: Non-profit organization | Website: https://www.swami.org.sg/
THK Active Ageing Center @ Toa Payoh 15,Active Ageing Centre,"15 Lor 7 Toa Payoh, #01-579 HDB Toa Payoh Court, Block 15, Singapore 310015",310015,+65 6251 6504,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Association / Organization | Website: http://www.thkmc.org.sg/
THK Active Ageing Centre,Active Ageing Centre,"Pipit Rd, MacPherson Oasis, Singapore 370090",370090,,,Type: Services | Google Maps: https://maps.google.com/?cid=12016337254968450144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
THK Active Ageing Centre @ Beo Crescent,Active Ageing Centre,"44 Beo Crescent, #01-67, HDB The, Beo Cres, Singapore 160044",160044,+65 6376 3023,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Association / Organization | Website: http://www.thkmc.org.sg/
THK Active Ageing Centre @ Bukit Merah View,Active Ageing Centre,"118 Bukit Merah Vw, #02-101 Golden Tulip, Singapore 150118",150118,+65 6276 4761,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Services | Google Maps: https://maps.google.com/?cid=17592142921262828271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
THK Active Ageing Centre @ Cassia,Active Ageing Centre,"52 Cassia Cres, #01-155, Singapore 390052",390052,+65 6917 2849,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Services | Website: http://www.thkmc.org.sg/services_detail/thk-seniors-activity-centres/
THK Active Ageing Centre @ Taman Jurong,Active Ageing Centre,"337 Tah Ching Rd, #01-01, Singapore 610337",610337,+65 6795 1185,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Services | Website: http://www.thkmc.org.sg/
THK Active Ageing Centre @ Telok Blangah Crescent,Active Ageing Centre,"3 Telok Blangah Cres, #01-504 HDB Mount Faber Green, Singapore 090003",090003,+65 6276 1216,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: Closed,Type: Non-profit organization | Website: http://www.thkmc.org.sg/
THK Active Aging Centre @ AMK 257,Active Ageing Centre,"257 Ang Mo Kio Ave 4, #01-67, Kebun Baru View, 257 Ang Mo Kio Ave 4, #12-105 Block 257, Singapore 560257",560257,+65 6459 9139,,Type: Services | Website: http://www.thkmc.org.sg/
